Group,Subgroup,Definition,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Environmental and Resource Productivity of the Economy,  CO2 and energy productivity of the economy,Production based CO2 emissions,"Tonnes, Millions",117.77,118.58,110.58,111.37,105.07,94.58,95.67,96.96,112.32,113.24,119.97,120.57,123.4,115.98,118.93,112.16,119.9,116.28,121.24,110.6,119.93,122.81,107.09,106.32,99.52,93.88,99.95,104.52,107.58,111.81,109.6,..,..
,,"Production based CO2 productivity, GDP per unit of CO2 emissions","USD per kilogram, 2015",0.66,0.65,0.62,0.6,0.61,0.67,0.67,0.7,0.63,0.65,0.64,0.66,0.67,0.74,0.78,0.88,0.89,1,1.05,1.24,1.23,1.29,1.59,1.72,1.96,2.23,2.22,2.21,2.26,2.3,2.39,..,..
,  CO2 and energy productivity of the economy,    Total primary energy supply,"Tonnes of oil equivalent (toe), Millions",47.39,48.04,45.09,46.85,46.32,39.27,40.75,41.5,43.19,45,46.27,46.76,48.46,46.89,46.34,43.81,45.23,44.16,45.45,41.5,45.13,46.49,40.56,40.09,37.4,35.76,37.77,39.71,48.11,47.07,45.25,..,..
,,"Energy Productivity, GDP per unit of TPES","USD, 2015",1643.44,1613.25,1526.24,1435.09,1376.05,1608.57,1576.69,1628.66,1632.17,1633.73,1649.91,1700.58,1706.32,1838.09,1998.35,2260.68,2352.82,2637.85,2794.59,3306.8,3271.87,3415.68,4192.87,4551.9,5214.7,5847.03,5864.07,5822.06,5063.45,5471.18,5797.56,..,..
,,"Energy intensity of GDP, TPES per GDP",koe/USD(2015),..,..,..,..,..,..,..,..,..,..,1.029,0.978,0.957,0.863,0.771,0.677,0.604,0.556,0.521,0.447,0.426,0.384,0.299,0.275,0.237,0.218,0.204,0.202,0.2,0.193,0.168,0.159,0.139
,,"    Renewable energy supply, % total energy supply",Percentage,1.21,1.09,1.21,1.36,1.34,1.36,1.39,1.21,1.16,1.36,0.66,0.81,1.08,1.51,1.14,1.76,0.9,0.92,0.86,1.35,1.57,1.06,1.42,1.23,1.41,1.65,1.57,1.73,1.06,1.19,0.96,..,..
,,"    Renewable electricity, % total electricity generation",Percentage,11.8,11.13,12.34,14.97,14.97,13.04,14.37,12.54,12.61,15.56,7.53,9.08,12.2,16.76,12.27,18.73,9.52,9.52,8.94,12.94,15.76,10.8,12.55,10.44,10.89,11.89,11.68,13.04,9.38,10.17,7.52,..,..
,,"    Energy consumption in agriculture, % total energy consumption",Percentage,4,4.14,3.29,3.06,2.8,4.21,8,7.82,3.55,3.48,3.45,3.8,3.83,3.82,3.89,3.77,4.08,4.26,3.9,2.67,2.41,2.44,2.69,2.9,3.01,3.39,3.34,3.23,5.6,4.59,3.4,..,..
,,"    Energy consumption in services, % total energy consumption",Percentage,0.35,0.36,0.73,0.63,0.57,7.74,5.18,9.33,8.7,8.79,8.76,8.57,8.58,8.72,8.71,8.7,8.64,8.59,8.69,8.78,8.89,8.97,8.73,8.52,8.33,8.18,8.72,8.57,12.26,13.55,12.81,..,..
,,"    Energy consumption in industry, % total energy consumption",Percentage,6.91,6.4,6.81,6.39,5.92,24.36,20.05,16.03,23.29,23.31,23.18,23.13,23.32,23.51,23.39,23.34,23.2,23.14,23.13,23.13,23.33,23.56,23.64,23.28,23.2,23.18,22.86,23.36,22.13,23.97,20.55,..,..
,,"    Energy consumption in transport, % total energy consumption",Percentage,7.7,7.01,6.19,5.39,4.62,8.94,12,11.87,13.31,13.52,13.06,13.35,12.58,12.07,12.11,12.62,12.68,12.98,12.35,12.78,12.3,11.86,11.64,10.85,11.39,11.55,10.9,11.11,19.07,19.75,18.22,..,..
,,"    Energy consumption in other sectors(buildings), % total energy consumption",Percentage,81.04,82.09,82.99,84.54,86.1,54.74,54.77,54.95,51.15,50.91,51.56,51.15,51.69,51.88,51.91,51.56,51.4,51.03,51.93,52.64,53.08,53.17,53.3,54.45,54.08,53.71,54.19,53.72,40.95,38.14,45.01,..,..
,,"    Renewable energy supply (excluding solid biofuels), % total energy supply",Percentage,1.21,1.08,1.2,1.35,1.33,1.35,1.38,1.2,1.15,1.35,0.66,0.8,1.07,1.5,1.13,1.75,0.89,0.91,0.85,1.34,1.56,1.05,1.41,1.22,1.4,1.64,1.56,1.72,1.05,1.18,0.95,..,..
,Resource  productivity of the economy,"Material productivity, GDP per unit of material consumption","USD per kilogram, 2015",..,..,0.39,0.41,0.43,0.45,0.42,0.43,0.46,0.43,0.47,0.49,0.49,0.51,0.52,0.56,0.6,0.64,0.68,0.72,0.77,0.76,0.79,0.81,0.83,0.86,0.82,0.93,0.88,0.91,..,..,..
,,Water productivity,"USD dollars per m3, 2015 ",..,..,..,..,0.488795408695518,0.484973137193491,0.493805773933363,0.520103825537803,0.543116654086752,0.567148532375177,0.589604223296985,0.61003205486075,0.648079782012203,0.690543813067092,0.758870804325432,0.830515882177423,0.889786679010081,0.971230858157808,1.05584065510403,1.13753253024065,1.22040857497737,1.30845711530891,1.39735490953792,1.4950094281095,1.59320024759398,1.56322569354266,1.6738690586679,1.61838477001162,1.71342527153296,1.81591486550663,1.85215299159831,..,..
,,Fertilizer use,kg per hactar of cropland,..,..,163.164953062137,142.250055915903,105.863921217547,105.921787709497,99.4191242180518,195.465713647532,184.100044662796,172.985041303862,163.214285714286,160.745369337202,160.347903657449,155.905511811024,141.852019972764,149.301580032059,165.203327171904,169.057122872464,175.869411764706,197.896699121349,205.389501438159,213.023711589644,211.386174890083,232.749198520345,244.66196834817,248.692155407077,253.734294847967,254.295151996821,254.712672272252,253.847526961696,254.510067114094,..,..
,,Household solid waste production,"Tonnes, Millions",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.56,0.59,0.68,0.76,1.02,3.5,5.7,..
Natural asset base,Renewable natural resources,Freshwater withdrawal,"Cubic meters, Billions",..,..,..,..,53.763,53.699047619,53.6350952381,53.5711428571,53.5071904762,53.4432380952,53.3792857143,53.74,52.595,51.45,50.305,49.16,49.3044444444,49.4488888889,49.5933333333,49.7377777778,49.8822222222,50.0266666667,50.1711111111,50.3155555556,50.46,55.14,54.55,58.9,58.904,58.904,..,..,..
,,Water stress,Percentage,..,..,..,..,154.1812446229,153.9978423259,153.814440029,153.631037732,153.447635435,153.264233138,153.0808308411,154.1152853456,150.8316604531,147.5480355607,144.2644106682,140.9807857757,141.395022783,141.8092597903,142.2234967976,142.6377338049,143.0519708122,143.4662078195,143.8804448268,144.2946818341,144.7089188414,158.1301978778,156.438199025,168.9131058216,168.9245770003,168.9245770003,..,..,..
,,"Freshwater use, Agriculture,% of total water use",Percentage,..,..,..,..,93.652570838,93.1745371842,92.7023709699,92.2359648275,91.7752139933,91.3200162287,90.8702717449,90.4258831297,90.3255657441,90.2213072568,90.1128707673,90,90.1609659961,90.3246635324,90.4911627339,90.6605361468,90.8328588436,91.0082085344,91.1866656833,91.3683136321,91.5532387296,92.0813987232,91.6605571848,92.2920203735,92.2920203735,92.2920203735,..,..,..
,,"Freshwater use, Domestic, % of total water use",Percentage,..,..,..,..,4.4475066747,4.6323151794,4.8148553234,4.9951686153,5.1732955569,5.3492756736,5.5231475441,5.694948828,6.0780684782,6.4762394922,6.8903666113,7.3214285714,7.0298822517,6.7333884865,6.4318202631,6.1250461842,5.8129302759,5.4953317877,5.1721049804,4.843098903,4.508157158,4.3655687754,4.4648093842,4.0916808149,4.0916808149,4.0916808149,..,..,..
,,"Freshwater use, Industry, % of total water use",Percentage,..,..,..,..,1.8999224873,2.1931476364,2.4827737067,2.7688665572,3.0514904498,3.3307080977,3.606580711,3.8791680423,3.5963657777,3.302453251,2.9967626214,2.6785714286,2.8091517522,2.9419479812,3.077017003,3.214417669,3.3542108805,3.4964596779,3.6412293363,3.7885874649,3.9386041124,3.5530325015,3.8746334311,3.6162988115,3.6162988115,3.6162988115,..,..,..
,,Forest area,"Hectars, Millions",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.017,9.141,9.146,10.566,11.267,11.573,11.975,..,..
,,"Forest coverage,% of total land",Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.05307155527101,8.05583295506128,8.1397486557828,8.19844389770035,8.25712061408984,8.31637366503615,8.3732213775105,..,..
,, Forest resource stocks,"Cubic metres, Millions",70.8,..,..,..,..,..,..,..,..,..,72.7,..,..,..,..,..,..,..,..,..,74.45,..,..,..,..,76.2,..,..,..,..,..,..,..
,Non-renewable natural resources,Land area,thousand km2,..,425.4,425.4,425.4,425.4,425.4,425.4,425.4,425.4,425.4,435.96,435.91,435.91,435.87,435.85,435.85,435.85,435.98,435.97,435.94,435.89,435.81,435.8,435.79,440.6,440.59,440.59,440.58,440.59,440.55,440.65,..,..
,,Agriculture land,thousand km2,272.74,277.24,277.24,276.47,276.4,276.43,276.4,276.37,273.34,273.31,273.28,273.25,270.46,268.65,266.84,265.03,263.22,261.41,259.6,257.79,255.98,254.17,252.36,252.36,254.22,255.48,255.457,255.332,255.203,255.553,256.825,..,..
,,Agriculture land(percentage),Percentage,65.1716031969911,65.1716031969911,65.1716031969911,64.9905970850964,64.9741419840151,64.9811941701928,64.9741419840151,64.9670897978373,64.2548189938881,64.2477668077104,62.6839310495109,62.6848141019612,62.0447751949366,61.6343601520613,61.2224763853868,60.8077568148602,60.3923368131238,59.9586223347646,59.5457913098927,59.1336063035475,58.7255558716379,58.3214206223369,57.907296925195,57.5048934231933,58.6109332727536,57.984566500227,57.9805306962693,57.9525543137807,57.9234067278426,58.0070592775022,58.2832179734483,..,..
,,Cultivated land,thousand km2,..,..,..,..,..,..,..,..,..,..,3778.3,3444.5,3540.8,3790.1,3695.7,3647.5,3637.4,3560.3,3609.7,3608.6,3708.4,3601.6,3628.1,3658.6,3678.2,3694.5,3706.7,3474.5,3396,3309.4,3396.1,3260.7,..
,,Natural gas production,"Cubic metres, Billions",..,..,..,..,..,..,..,..,..,..,56,57,60,58,60,61,63,66,68,67,66,63,62,58,54,55,56,57,62,61,50,54,..
,,Natural gas Consumption,"Cubic metres, Billions",..,..,..,..,..,..,..,..,..,..,51,52,55,53,52,50,52,51,53,48,53,55,47,46,43,42,44,46,48,50,46,52,..
,Biodiversity,Protected natural areas,"Hectars, Millions",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8232,0.8854,0.8854,0.8855,0.8855,0.8855,0.8745,1.5457,1.5459,1.5706,3.4578,..
,,"Threatened Species,Plants",Number,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,321,..,..,..,..,..,..,..,..,..,314,..,..,..
,,"Threatened Species, Animals",Number,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,177,..,..,..,..,..,..,..,..,..,177,..,..,..
,,Annual mean temperature,Degree celsius,13.53,13.14,12.64,12.16,12.55,14.03,12.48,13.66,13.23,14.14,14.01,14.04,14.01,13.25,14.59,14.24,13.91,14.12,13.45,13.77,14.5,13.23,13.22,14.54,13.02,14.3,14.66,14,13.86,14.59,13.9,14.78,..
Environmental dimension of quality of life, Environmental health risks and costs,Air pollution,"Tonnes, thousand",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,729,788.2,817.6,855.2,1162.1,975.1,1008.2,853.5,883.7,952.8,924.4,908.7,..
,,Mean population exposure to PM2.5,Micrograms per cubic metre,36.83,..,..,..,..,39.31,..,..,..,..,38.63,..,..,..,..,32.71,..,..,..,..,33.61,43.04,40.46,41.04,38.91,36.99,36.67,36.62,36.34,36.35,..,..,..
,, Percentage of population exposed to more than 35 micrograms/m3,Percentage,50.79,..,..,..,..,61.23,..,..,..,..,56.76,..,..,..,..,35.89,..,..,..,..,32.88,80.78,71.92,74.61,58.73,50.31,50.37,55.01,52.68,55.58,..,..,..
,,Mortality from exposure to ambient PM2.5,Per 1 000 000 inhabitants,497.89,528.52,572.27,632.33,681.93,711.89,739.41,741.93,750.37,749.24,771.31,776.38,783.8,785.52,783.55,802.55,776.07,770.39,776.49,769.88,776.4,800.49,823.28,831.33,839.09,839.49,831.59,825.28,821.12,811.53,..,..,..
,," Welfare costs of premature mortalities from exposure to ambient PM2.5, GDP equivalent",Percentage,6.21,6.61,7.26,8.05,8.75,9.17,9.51,9.51,9.59,7.52,7.75,7.8,7.88,7.9,7.88,8.07,7.81,7.76,7.82,9.38,9.4,9.64,9.86,9.9,9.94,9.88,9.74,9.64,9.55,9.41,..,..,..
,,Mortality from exposure to ambient ozone,Per 1 000 000 inhabitants,20.57,19.9,19.29,19.97,21.39,22.1,21.93,20.7,20,19.53,19.31,16.56,15.13,14.8,13.76,13.16,10.82,11.23,10.36,8.48,6.81,6.54,6.64,6.78,6.19,6.56,7.21,8.17,7.25,7.33,..,..,..
,," Welfare costs of premature deaths from exposure to ambient ozone, GDP equivalent",Percentage,0.26,0.25,0.24,0.25,0.27,0.28,0.28,0.27,0.26,0.2,0.19,0.17,0.15,0.15,0.14,0.13,0.11,0.11,0.1,0.1,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.1,0.08,0.09,..,..,..
,,Mortality from exposure to lead,Per 1 000 000 inhabitants,67.9,72.28,78.8,87.9,94.76,98.13,101.46,101.4,102.33,102.33,106.76,109.56,113.1,115.97,117.6,121.07,115.58,111.99,110.86,107.03,104.99,104.9,103.72,100.54,98.02,95.65,92.94,90.63,88.39,85.28,..,..,..
,,"Welfare costs of premature deaths from exposure to lead, GDP equivalent",Percentage,0.85,0.9,1,1.12,1.22,1.26,1.31,1.3,1.31,1.03,1.07,1.1,1.14,1.17,1.18,1.22,1.16,1.13,1.12,1.3,1.27,1.26,1.24,1.2,1.16,1.13,1.09,1.06,1.03,0.99,..,..,..
,,"Mortality due to respiratory disease, % of all cause of death",Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.8,4,4.2,7.2,6.7,9.6
,Environmental Services,Population access to safe drinking water,Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.5,82.7,82.7,82.6,82.3,81.4,76.4,75.6,75.3,76.6,67.4,68.3,72
,,Population access to sewerage services,Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.9,37.8,37.6,37.8,37.8,36.5,35.9,35.8,35.7,36.3,37.3,43.6,48
,,Population access to sanitation,Percentage,..,..,..,..,..,..,..,..,..,..,92.67819923,93.29388374,93.90266262,94.50442252,95.09907877,95.68663122,96.26712791,96.84050639,97.40676642,97.96588246,98.51791332,99.05966172,99.59751111,99.97483641,100,100,100,100,99.99999699,100,100,..,..
Economic opportunities and policy responses,  Technology and innovation: Patents,"Development of environment-related technologies, % all technologies",Percentage,0,0,0,40,33.33,0,0,0,0,14.29,66.67,33.33,20,25.51,34.45,38.76,53.85,16,20.75,8.73,20,32.41,0,16.15,9.52,0,25.73,55.29,14.29,..,..,..,..
,,"Development of environment-related technologies, % inventions worldwide",Percentage,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,..,..,..,..
,," Development of environment-related technologies, inventions per capita",Number,0,0,0,0.05,0.02,0,0,0,0,0.02,0.04,0.02,0.04,0.04,0.07,0.04,0.07,0.03,0.03,0.02,0.04,0.07,0,0.06,0.03,0,0.05,0.11,0.02,..,..,..,..
,Financial flows ,"Public expenditure in environment protection, % of total expenditure",Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.04,0.06,0.06,0.05,0.05,0.15,0.05,0.05,..,..,..
,,"Public expenditure, % of GDP",Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01,0.02,0.02,0.02,0.01,0.04,0.01,0.02,..,..,..
,,"Public expenditure in SDG-13 (Climate Action), % of total expenditure",Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.2,0.1
,Environmental taxes and transfers,"Environmental Revenues/tax and fee, % of total revenue",percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0001,0.01,0.02,0.01,..,..,..,..
,,Energy Subsidies in Uzbekistan(Oil),"USD, Million, 2019",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,440,474,502,399,134,155,442,980,748,455,..,..
,,Energy Subsidies in Uzbekistan(Electricity),"USD, Million, 2019",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1757,1764,1581,1266,885,608,344,1363,2488,1471,1188,..,..
,,Energy Subsidies in Uzbekistan(Gas),"USD, Million, 2019",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7797,6504,5232,4851,3913,2514,1977,3810,5562,3024,2161,..,..
,,"    Diesel end-user price, USD per litre","USD per litre, 2015",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.75,1.89,1.87,2.13,2.02,1.85,2.14,2.08,1.98,1.99,2.96,2.87,2.68,3.6,..
,,"    Petrol end-user price, USD per litre","USD per litre, 2015",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.96,2.1,2.08,2.36,2.23,2.04,2.27,2.12,2.13,2.58,3.6,3.18,2.73,3.19,..
,,Average retail price of petrol,"USD per litre, Real",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.83,0.78,0.97,0.99,0.91,0.84,0.93,0.96,0.63,0.63,0.65,0.59,0.58,0.81
,,"    Residential electricity price, USD per kWh","USD, 2015",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.14,0.13,0.14,0.15,0.16,0.14,0.13,0.13,0.13,0.11,..
,,"    Industry electricity price, USD per kWh","USD, 2015",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.14,0.13,0.14,0.15,0.16,0.14,0.13,0.19,0.2,0.17,..
Socio-economic context,  Economic growth and competitiveness,"Gross domestic product (GDP), Real","UZ Soums, trillion",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85,111,137,164,200,234,267,336,452,543,650,780
,,"Gross domestic product (GDP) per capita, Real","UZ Soums, million",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.9,3.7,4.6,5.4,6.5,7.4,8.3,10.3,13.6,16,18.8,22.1
,,Real GDP growth rate,Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.53,7.1,7.3,6.87,7.22,5.93,4.4,5.52,5.98,2,7.4,5.67
,,"Value added, Agriculture, % of total",Percentage,..,..,..,..,..,..,..,..,..,..,34.4,34,34.5,33,30.8,29.5,27.9,25.9,21.9,20.6,30.59,33.47,33.62,31.04,31.83,32.15,32.1,32.19,29.74,26.65,26.82,26.48,25.14
,,"Value added, Industry,% of total",Percentage,..,..,..,..,..,..,..,..,..,..,23.1,22.6,22.2,23.7,26,29.1,29.8,29.9,32.2,33.6,24.12,22.29,23.01,23.76,24.48,24.78,25.13,26.46,30.5,33.77,33.43,33.88,33.36
,,"Value added, Services,% of total",Percentage,..,..,..,..,..,..,..,..,..,..,42.5,43.4,43.3,43.3,43.2,41.4,42.3,44.2,45.9,45.8,45.29,44.24,44.37,45.2,43.69,43.08,42.78,41.35,39.76,39.58,39.75,39.64,41.47
,,"Consumer price Index (CPI), % of previous year December",Percentage,..,..,..,..,..,..,..,..,..,..,28.2,26.6,21.6,3.8,3.7,7.8,6.8,6.8,7.8,7.4,7.3,7.6,7,6.8,6.1,5.6,5.7,14.4,14.3,15.2,11.1,10,12.3
,,"Foreign Trade, Export","USD, million",..,..,..,..,..,..,..,..,..,..,3264.7,3170.3,2988.4,3725,4853,5408.8,6389.7,8991.5,11493,11771,13023,15021,13600,14323,13546,12508,12095,12554,13991,17459,15102,16663,..
,,"Foreign Trade, Import","USD, million",..,..,..,..,..,..,..,..,..,..,2947.4,3136.9,2712,2964.2,3816,4091.2,4781.5,6728.1,9703.9,9438.3,9175.8,11345,12817,13947,13984,12417,12138,14012,19439,24292,21154,25508,..
, Labour market and socio-demographic patters,Share of low income population,percentage,..,..,..,..,..,..,..,..,..,..,..,27.5,26.5,27.2,26.13,25.79,24.9,23.65,21.8,19.5,17.68,16,15.04,14.07,13.31,12.84,12.3,11.9,11.4,11,11.49,..,..
,,Inequality (Gini-coefficient),coefficient,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.262,0.262,0.262,0.2764,0.2728,0.2828
,,Total labour force,Million,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.726,17.28,17.56,17.81,18.048,18.2761,18.4889,18.6663,18.8296,18.949,19.1582,19.3349,..
,,"Employment rate, % of total labour force",Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,0.69,0.7,0.7,0.71,0.71,0.72,0.72,0.7,0.71,0.69,0.7,..
,,"Employment, in agriculture, % of total employment",Percentage,..,40.46,40.15,40.27,40.49,40.33,40.11,39.96,39.4,38.5,37.67,36.72,35.74,34.73,33.6,32.44,31.28,30.05,28.83,27.71,26.81,27.09,26.6,21.17,27.53,26.87,26.23,25.77,25.11,24.33,24.46,23.95,..
,,"Employment, in industry",Percentage,..,22.94,22.51,22.06,21.32,20.93,20.66,20.24,20.05,20.25,20.02,19.94,19.86,19.95,20.18,20.43,20.79,21.3,21.71,22.33,22.7,22.73,22.7,22.73,22.78,23.14,23.46,23.71,24.1,24.53,24.83,25.41,..
,,"Employment, in services",Percentage,..,36.6,37.33,37.67,38.2,38.74,39.23,39.81,40.56,41.25,42.31,43.34,44.39,45.32,46.23,47.13,47.93,48.65,49.45,49.96,50.49,50.17,50.7,50.1,49.69,49.99,50.3,50.52,50.79,51.14,50.71,50.64,..
,,"Gross school enrolment, primary",Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.0458602905273,96.2015228271484,94.589111328125,93.5075302124023,92.8130111694336,93.9317474365234,94.5381622314453,96.3183898925781,97.6362762451172,98.4744720458984,99.9319305419922,101.572486877441,103.654922485352,104.232978820801,102.221481323242,100.065063476563,98.051139831543,..
,,"Gross school enrolment, secondary",Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.8898773193359,88.5933532714844,89.6149063110352,88.2079620361328,89.4730529785156,89.8712615966797,90.2158432006836,92.0822525024414,91.7950820922852,92.0111618041992,91.8459396362305,92.6066207885742,93.3363571166992,94.9880676269531,97.4187393188477,92.9734878540039,92.1688690185547,..
,,"Gross school enrolment, tertiary",Percentage,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.0747804641724,10.2824096679688,10.1954498291016,10.2195997238159,9.98674964904785,9.37726974487305,8.82542991638184,8.03884029388428,8.08664035797119,8.10313987731934,8.22408962249756,8.46360015869141,9.1810998916626,10.0763502120972,12.5820302963257,15.9204797744751,21.2482395172119,..
,,Total Population,million,..,20.9,21.4,21.9,22.4,22.8,23.2,23.7,24.1,24.3,24.6,24.9,25.3,25.6,25.9,26.2,26.5,26.9,27.3,27.8,28.6,29.3,29.7,30.2,30.8,31.3,31.8,32.4,32.9,33.6,34.2,34.9,35.3
,,"Life expectancy, total",age,..,..,..,..,..,..,..,..,..,..,70.8,71.3,71.2,71.2,71.6,71.8,72.5,72.7,72.9,72.9,73,73,73.1,73.4,73.4,73.6,73.8,73.7,74.6,75.1,73.4,73.8,..
,,"Life expectancy, men",age,..,..,..,..,..,..,..,..,..,..,68.4,68.9,68.9,69.2,69.4,69.6,70.2,70.3,70.5,70.6,70.6,70.6,70.7,71.1,71.1,71.2,71.4,71.3,72.3,72.8,71.2,71.7,..
,,"Life expectancy, women",age,..,..,..,..,..,..,..,..,..,..,73.2,73.6,73.5,73.6,73.8,74.1,74.9,75,75.1,75.2,75.1,75.2,75.5,75.98,75.8,76,76.2,76.1,77,77.4,75.5,75.8,..
,,Net external migration,thousand,-73485,-29065,-33270,-37383,-41799,-45888,-50325,-48369,-49882,-61969,-66569,-48649,-47697,-44098,-38839,-33395,-29201,-27023,-24037,-20379,-20381,-20380,-20382,-20380,-20382,-20380,-35209,-48561,-60066,-69397,-39203,-39201,-19999
